time_s,mode,aoa_rad,max_aoa_rad,command_rad,packet_loss,abort_requested,abort_requested_at,is_finite,altitude_m,velocity_m_s,acceleration_g,dynamic_pressure_Pa,mach,thrust_N,mass_kg,pitch_rad,flight_path_angle_rad,estimated_aoa_rad,estimation_error_rad,kf_innovation
1.0,NOMINAL,0.014670765716751966,0.20943951023931953,0.12566370614359174,0.0,False,,True,2.6678909376042292,4.4843561073741185,0.6141036778372908,12.313780915348174,0.013074256013075384,7600000.0,546469.1358024689,1.0096849415644973,1.0498087488587515,0.008131374828924254,0.0065393908878277115,4.440162042611532
1.1,NOMINAL,0.01844067690105966,0.20943951023931953,0.13962634015954636,0.0,False,,True,3.116644769789957,5.018690596706934,0.6504948269067546,15.42235250845326,0.01463219131847681,7600000.0,546148.1481481479,0.9568269315188052,0.9912442646634376,0.016419355199176974,0.002021321701882687,1.46400953148945
1.2,NOMINAL,0.022629467105846013,0.20943951023931953,0.153588974175501,0.0,False,,True,3.591999168670473,5.580666712872555,0.686293664498722,19.068609531755058,0.01627073731522503,7600000.0,545827.1604938268,0.9064764451939064,0.9341974644129591,0.01846365755976571,0.004165809546080302,1.9749065627261613
1.3,NOMINAL,0.027237136331111023,0.20943951023931953,0.16755160819145562,0.0,False,,True,4.0916941999916,6.171398146289514,0.7206999667459031,23.317914030297064,0.017993143415317117,7600000.0,545506.1728395058,0.8590806570925635,0.8792393088627953,0.018902383846179066,0.008334752484931957,1.4991810633037683
1.4,NOMINAL,0.03226368457685469,0.20943951023931953,0.18151424220741025,0.0,False,,True,4.613513802600223,6.791369414225199,0.7530909661495777,28.23655717677211,0.01980082466565204,7600000.0,545185.1851851848,0.8149651013606946,0.8268169725157088,0.032119674626476975,0.00014400995037771452,1.1313304847345718
1.5,NOMINAL,0.037709111843077014,0.20943951023931953,0.19547687622336488,0.0,False,,True,5.155348549984099,7.440471163437644,0.7825288068961429,33.88997498938666,0.021693464624459247,7600000.0,544864.1975308638,0.7743842096700484,0.7772559895176175,0.03824156846987426,0.0005324566267972466,1.0749199149489037
1.6,NOMINAL,0.043573418129778,0.20943951023931953,0.2094395102393195,0.0,False,,True,5.715252891352888,8.117695590437274,0.8090632831002702,40.33742875173658,0.023668127272624597,7600000.0,544543.2098765428,0.7374522393992919,0.7308107915402704,0.042551599691410445,0.0010218184383675513,1.4103224102916192
1.7,NOMINAL,0.049856603436957525,0.20943951023931953,0.22340214425527413,0.0,False,,True,6.291489122359537,8.821823120899024,0.8320001056196619,47.63550488611638,0.025721259047888714,7600000.0,544222.2222222218,0.7042356222447238,0.6875956359623344,0.05212882930423801,0.0022722258672804863,1.4902918264060605
1.8,NOMINAL,0.05655866776461571,0.20943951023931953,0.23736477827122876,0.0,False,,True,6.88256320768951,9.550843478786021,0.8515799577306884,55.83006001060748,0.027847000867921936,7600000.0,543901.2345679008,0.6747066797066026,0.6476769544801081,0.06042783005416413,0.0038691622895484223,1.9406253792359132
1.9,NOMINAL,0.06367961111275255,0.20943951023931953,0.2513274122871834,0.0,False,,True,7.48724790996669,10.302681202778219,0.8674287223551923,64.9613381173255,0.030039303440168082,7600000.0,543580.2469135798,0.6488070843498023,0.61102706859385,0.06285684143868106,0.000822769674071494,1.9655860000205543
2.0,NOMINAL,0.07121943348136806,0.20943951023931953,0.2617993877991494,0.0,False,,True,8.104299351609846,11.074720036467202,0.8833046383935297,75.05662916932428,0.03229054053625008,7600000.0,543259.2592592587,0.6259374982895903,0.5775876508684342,0.0647832362281388,0.006436197253229262,10.478762231241813
2.1,NOMINAL,0.0790734151153425,0.20943951023931953,0.2617993877991494,0.0,False,,True,8.731791777268349,11.866117905621847,0.9066700139156578,86.16072306040012,0.03459825866272599,7600000.0,542938.2716049377,0.6046090807128769,0.5468640831742478,0.0760099754427577,0.0030634396725847945,1.580741782023021
2.2,NOMINAL,0.08692739674931693,0.20943951023931953,0.2617993877991494,0.0,False,,True,9.367880194917909,12.680023530083872,0.9285096789587306,98.37847235080203,0.03697164000783993,7600000.0,542617.2839506167,0.5847952137670692,0.51768168396356,0.08643545135513682,0.0004919453941801127,1.7369457630276435
2.3,NOMINAL,0.09478137838329137,0.20943951023931953,0.2617993877991494,0.0,False,,True,10.010809543709119,13.515446872611367,0.9488523315651161,111.76048427629024,0.039407799273901575,7600000.0,542296.2962962957,0.5664561089834284,0.49001383538377785,0.09150731344549615,0.0032740649377952236,2.0852387565572017
2.4,NOMINAL,0.10263536001726586,0.20943951023931953,0.2617993877991494,0.0,False,,True,10.658921336220697,14.371360987814306,0.9675848065243987,126.35440959433573,0.04190374334384543,7600000.0,541975.3086419747,0.5495469490977862,0.4638207489661625,0.10110999416099026,0.0015253658562756067,1.8780637192636918
2.5,NOMINAL,0.1104893416512403,0.20943951023931953,0.2617993877991494,0.0,False,,True,11.310658540424873,15.246580912502065,0.9850761592013134,142.20223344443932,0.04445601814647833,7600000.0,541654.3209876537,0.5340074132914168,0.4390576074465459,0.104202438688804,0.006286902962436308,1.530915414568231
2.6,NOMINAL,0.11834332328521474,0.20943951023931953,0.2617993877991494,0.0,False,,True,11.964567746271456,16.14019665026675,1.0013395246845287,159.34771341732014,0.04706197114955983,7600000.0,541333.3333333327,0.5197760183322527,0.415664090006202,0.10758923364968077,0.010754089635533967,2.2010968060542395
2.7,NOMINAL,0.12619730491918918,0.20943951023931953,0.2617993877991494,0.0,False,,True,12.619300046352379,17.051267224520583,1.0160227985405874,177.83125894280133,0.04971885929980964,7600000.0,541012.3456790117,0.506798476004886,0.39357871341306355,0.1251840959705756,0.001013208948613592,2.2169289982134974
2.8,NOMINAL,0.13405128655316362,0.20943951023931953,0.2617993877991494,0.0,False,,True,13.27361159510797,17.978490603947893,1.0296879625221051,197.6822994342068,0.05242288657237913,7600000.0,540691.3580246906,0.49500893266830026,0.3727471894517224,0.13037865435650453,0.003672632196659087,2.1440644315458104
2.9,NOMINAL,0.1419052681871381,0.20943951023931953,0.2617993877991494,0.0,False,,True,13.926362091011576,18.921038394437772,1.042005146227072,218.93632917008344,0.055171637808555545,7600000.0,540370.3703703696,0.4843498715137622,0.35310366448116215,0.13996953908252915,0.0019357291046089575,1.3141630980837815
3.0,NOMINAL,0.1497592498211126,0.20943951023931953,0.2617993877991494,0.0,False,,True,14.576513273629324,19.87774786051345,1.053335008625589,241.61778678017382,0.05796172278242686,7600000.0,540049.3827160486,0.474759696285302,0.3345906216926496,0.14812972137511687,0.0016295284459957315,7.526935438951854
